procedure_id,equipment_id,sensor_name,lignes,axe_temporel_identique,moyenne_avant,moyenne_apres,delta_moyenne_pct,ecart_type_avant,ecart_type_apres,delta_ecart_type_pct,correlation_point_a_point,autocorr_lag1_avant,autocorr_lag2_avant,autocorr_lag4_avant,autocorr_lag1_apres,autocorr_lag2_apres,autocorr_lag4_apres,part_pas_nominal_avant_pct,part_pas_nominal_apres_pct,hors_plage_robuste_avant,hors_plage_robuste_apres,en_fenetre_evenement_avant,en_fenetre_evenement_apres,signal_en_fenetre_avant,signal_en_fenetre_apres,collisions_cle_logique,ordre_de_grandeur,fidelite_point_a_point,structure_temporelle,regularite_du_pas,plausibilite_physique,lien_aux_evenements,signal_aux_evenements,cle_logique_libre
PROC-AUG-BRUIT,EQ-CAB-134,current_a,720,True,21.6383,21.6385,0.0008,1.8327,1.8328,0.0041,0.9998,0.0446,-0.6734,0.714,0.0454,-0.6726,0.7147,99.72,99.72,0,0,38,38,21.39,21.3921,720,True,True,True,True,True,True,True,False
PROC-AUG-BRUIT,EQ-CAB-134,temperature_c,720,True,55.2711,55.2696,-0.0027,3.5427,3.5472,0.1278,0.9998,0.0335,-0.7756,0.824,0.0331,-0.7754,0.8232,100.0,100.0,0,0,38,38,54.6203,54.6205,720,True,True,True,True,True,True,True,False
PROC-AUG-BRUIT,EQ-CHILL-001,pressure_bar,720,True,5.824,5.8237,-0.0064,0.2779,0.2776,-0.0833,0.9998,0.0513,-0.5822,0.6309,0.0501,-0.5835,0.6317,100.0,100.0,0,0,22,22,5.7664,5.7655,720,True,True,True,True,True,True,True,False
PROC-AUG-BRUIT,EQ-CHILL-001,temperature_c,719,True,55.6192,55.6192,-0.0,3.6092,3.6054,-0.1065,0.9998,0.0577,-0.7421,0.8101,0.057,-0.7417,0.8106,99.86,99.86,0,0,22,22,57.1059,57.1223,719,True,True,True,True,True,True,True,False
PROC-AUG-BRUIT,EQ-CHILL-115,pressure_bar,720,True,6.9929,6.993,0.0026,0.2795,0.28,0.1778,0.9997,0.0164,-0.6122,0.6043,0.016,-0.6115,0.6037,100.0,100.0,0,0,30,30,6.997,6.9953,720,True,True,True,True,True,True,True,False
PROC-AUG-BRUIT,EQ-CHILL-115,temperature_c,718,True,59.8194,59.8205,0.002,3.5648,3.5663,0.0431,0.9998,0.0449,-0.7375,0.7993,0.0449,-0.7375,0.7995,99.72,99.72,0,0,30,30,59.765,59.7633,718,True,True,True,True,True,True,True,False
PROC-AUG-BRUIT,EQ-CHILL-168,pressure_bar,720,True,7.2117,7.2118,0.0017,0.2657,0.2656,-0.0506,0.9997,0.0363,-0.4875,0.5894,0.0345,-0.4899,0.5898,100.0,100.0,0,0,44,44,7.0845,7.0859,720,True,True,True,True,True,True,True,False
PROC-AUG-BRUIT,EQ-CHILL-168,temperature_c,719,True,59.1001,59.1035,0.0059,3.628,3.6293,0.0369,0.9998,0.0559,-0.7217,0.8018,0.0551,-0.7209,0.8027,99.86,99.86,0,0,44,44,59.9339,59.9389,719,True,True,True,True,True,True,True,False
PROC-AUG-BRUIT,EQ-CHILL-188,pressure_bar,719,True,6.3518,6.3516,-0.0028,0.2791,0.2794,0.1166,0.9997,0.0911,-0.4756,0.6177,0.0913,-0.4747,0.6166,99.86,99.86,0,0,32,32,6.1088,6.1078,719,True,True,True,True,True,True,True,False
PROC-AUG-BRUIT,EQ-CHILL-188,temperature_c,719,True,58.3132,58.3115,-0.0029,3.6414,3.6443,0.0811,0.9998,0.0689,-0.7121,0.8141,0.0693,-0.7118,0.8127,99.86,99.86,0,0,32,32,60.9091,60.9113,719,True,True,True,True,True,True,True,False
