source_file,row_identifier,rule_id,column,observed_value,reason,decision
equipment.csv,EQ-CHILL-128,EQP-KEY-002,equipment_id,EQ-CHILL-128,equipment_id est unique.,quarantaine_examen_metier
equipment.csv,EQ-CONV-222,EQP-KEY-002,equipment_id,EQ-CONV-222,equipment_id est unique.,quarantaine_examen_metier
equipment.csv,EQ-OVEN-366,EQP-KEY-002,equipment_id,EQ-OVEN-366,equipment_id est unique.,quarantaine_examen_metier
equipment.csv,EQ-ROBOT-390,EQP-KEY-002,equipment_id,EQ-ROBOT-390,equipment_id est unique.,quarantaine_examen_metier
equipment.csv,EQ-CHILL-128,EQP-KEY-002,equipment_id,EQ-CHILL-128,equipment_id est unique.,quarantaine_examen_metier
equipment.csv,EQ-CONV-222,EQP-KEY-002,equipment_id,EQ-CONV-222,equipment_id est unique.,quarantaine_examen_metier
equipment.csv,EQ-OVEN-366,EQP-KEY-002,equipment_id,EQ-OVEN-366,equipment_id est unique.,quarantaine_examen_metier
equipment.csv,EQ-ROBOT-390,EQP-KEY-002,equipment_id,EQ-ROBOT-390,equipment_id est unique.,quarantaine_examen_metier
equipment.csv,EQ-CHILL-128,EQP-KEY-003,*,,Aucune ligne n'est un doublon exact d'une autre sur toutes ses colonnes.,correction_certaine
equipment.csv,EQ-CONV-222,EQP-KEY-003,*,,Aucune ligne n'est un doublon exact d'une autre sur toutes ses colonnes.,correction_certaine
equipment.csv,EQ-OVEN-366,EQP-KEY-003,*,,Aucune ligne n'est un doublon exact d'une autre sur toutes ses colonnes.,correction_certaine
equipment.csv,EQ-ROBOT-390,EQP-KEY-003,*,,Aucune ligne n'est un doublon exact d'une autre sur toutes ses colonnes.,correction_certaine
equipment.csv,EQ-CAB-239,EQP-CAS-002,equipment_type,Pump ,Libelles declares equivalents sur une categorie ouverte : 'Pump ' -> 'pump'.,correction_certaine
equipment.csv,EQ-CONV-137,EQP-TMP-001,commissioning_date,2031-04-17,La mise en service n'est pas posterieure a la date du jour.,quarantaine_examen_metier
equipment.csv,EQ-COMP-169,EQP-VAL-001,rated_power_kw,-12.5,La puissance nominale renseignee est strictement positive.,quarantaine_examen_metier
events.csv,EVT-2026S1-0022,EVT-KEY-002,event_id,EVT-2026S1-0022,event_id est unique.,quarantaine_examen_metier
events.csv,EVT-2026S1-0155,EVT-KEY-002,event_id,EVT-2026S1-0155,event_id est unique.,quarantaine_examen_metier
events.csv,EVT-2026S1-0314,EVT-KEY-002,event_id,EVT-2026S1-0314,event_id est unique.,quarantaine_examen_metier
