equipment_id,timestamp,sensor_name,value,unit,period,provenance,procedure_id
EQ-COMP-189,2026-01-01 00:00:00+00:00,vibration_mm_s,3.11,mm/s,2026-S1,synthétique,PROC-GEN-MARG-V1
EQ-COMP-189,2026-01-01 06:00:00+00:00,vibration_mm_s,2.94,mm/s,2026-S1,synthétique,PROC-GEN-MARG-V1
EQ-COMP-189,2026-01-01 12:00:00+00:00,vibration_mm_s,3.42,mm/s,2026-S1,synthétique,PROC-GEN-MARG-V1
EQ-COMP-189,2026-01-01 18:00:00+00:00,vibration_mm_s,2.45,mm/s,2026-S1,synthétique,PROC-GEN-MARG-V1
EQ-COMP-189,2026-01-02 00:00:00+00:00,vibration_mm_s,2.56,mm/s,2026-S1,synthétique,PROC-GEN-MARG-V1
EQ-COMP-189,2026-01-02 06:00:00+00:00,vibration_mm_s,2.33,mm/s,2026-S1,synthétique,PROC-GEN-MARG-V1
EQ-COMP-189,2026-01-02 12:00:00+00:00,vibration_mm_s,2.32,mm/s,2026-S1,synthétique,PROC-GEN-MARG-V1
EQ-COMP-189,2026-01-02 18:00:00+00:00,vibration_mm_s,2.75,mm/s,2026-S1,synthétique,PROC-GEN-MARG-V1
EQ-COMP-189,2026-01-03 00:00:00+00:00,vibration_mm_s,3.13,mm/s,2026-S1,synthétique,PROC-GEN-MARG-V1
EQ-COMP-189,2026-01-03 06:00:00+00:00,vibration_mm_s,2.82,mm/s,2026-S1,synthétique,PROC-GEN-MARG-V1
EQ-COMP-189,2026-01-03 12:00:00+00:00,vibration_mm_s,2.78,mm/s,2026-S1,synthétique,PROC-GEN-MARG-V1
EQ-COMP-189,2026-01-03 18:00:00+00:00,vibration_mm_s,2.59,mm/s,2026-S1,synthétique,PROC-GEN-MARG-V1
EQ-COMP-189,2026-01-04 00:00:00+00:00,vibration_mm_s,3.33,mm/s,2026-S1,synthétique,PROC-GEN-MARG-V1
EQ-COMP-189,2026-01-04 06:00:00+00:00,vibration_mm_s,3.48,mm/s,2026-S1,synthétique,PROC-GEN-MARG-V1
