equipment_id,timestamp,sensor_name,value,unit,period,provenance,procedure_id
EQ-COMP-189,2026-01-02 00:00:00+00:00,vibration_mm_s,2.45,mm/s,2026-S1,synthétique,PROC-GEN-SMOTE-V2
EQ-COMP-189,2026-01-02 06:00:00+00:00,vibration_mm_s,3.43,mm/s,2026-S1,synthétique,PROC-GEN-SMOTE-V2
EQ-COMP-189,2026-01-02 12:00:00+00:00,vibration_mm_s,3.13,mm/s,2026-S1,synthétique,PROC-GEN-SMOTE-V2
EQ-COMP-189,2026-01-02 18:00:00+00:00,vibration_mm_s,2.81,mm/s,2026-S1,synthétique,PROC-GEN-SMOTE-V2
EQ-COMP-189,2026-01-03 00:00:00+00:00,vibration_mm_s,2.63,mm/s,2026-S1,synthétique,PROC-GEN-SMOTE-V2
EQ-COMP-189,2026-01-03 06:00:00+00:00,vibration_mm_s,2.95,mm/s,2026-S1,synthétique,PROC-GEN-SMOTE-V2
EQ-COMP-189,2026-01-03 12:00:00+00:00,vibration_mm_s,3.29,mm/s,2026-S1,synthétique,PROC-GEN-SMOTE-V2
EQ-COMP-189,2026-01-03 18:00:00+00:00,vibration_mm_s,2.8,mm/s,2026-S1,synthétique,PROC-GEN-SMOTE-V2
EQ-COMP-189,2026-01-04 00:00:00+00:00,vibration_mm_s,2.44,mm/s,2026-S1,synthétique,PROC-GEN-SMOTE-V2
EQ-COMP-189,2026-01-04 06:00:00+00:00,vibration_mm_s,2.98,mm/s,2026-S1,synthétique,PROC-GEN-SMOTE-V2
EQ-COMP-189,2026-01-04 12:00:00+00:00,vibration_mm_s,3.25,mm/s,2026-S1,synthétique,PROC-GEN-SMOTE-V2
EQ-COMP-189,2026-01-04 18:00:00+00:00,vibration_mm_s,2.72,mm/s,2026-S1,synthétique,PROC-GEN-SMOTE-V2
EQ-COMP-189,2026-01-05 00:00:00+00:00,vibration_mm_s,2.49,mm/s,2026-S1,synthétique,PROC-GEN-SMOTE-V2
EQ-COMP-189,2026-01-05 06:00:00+00:00,vibration_mm_s,3.0,mm/s,2026-S1,synthétique,PROC-GEN-SMOTE-V2
EQ-COMP-189,2026-01-05 12:00:00+00:00,vibration_mm_s,3.5,mm/s,2026-S1,synthétique,PROC-GEN-SMOTE-V2
EQ-COMP-189,2026-01-05 18:00:00+00:00,vibration_mm_s,2.71,mm/s,2026-S1,synthétique,PROC-GEN-SMOTE-V2
EQ-COMP-189,2026-01-06 00:00:00+00:00,vibration_mm_s,2.66,mm/s,2026-S1,synthétique,PROC-GEN-SMOTE-V2
EQ-COMP-189,2026-01-06 06:00:00+00:00,vibration_mm_s,2.8,mm/s,2026-S1,synthétique,PROC-GEN-SMOTE-V2
EQ-COMP-189,2026-01-06 12:00:00+00:00,vibration_mm_s,3.24,mm/s,2026-S1,synthétique,PROC-GEN-SMOTE-V2
